rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,3.21,0.23,94.26
2,Spain,UEFA,2.9,0.37,90.58
3,Germany,UEFA,3.32,0.61,90.05
4,Portugal,UEFA,2.89,0.44,89.34
5,France,UEFA,2.81,0.42,89.03
6,Argentina,CONMEBOL,2.68,0.39,88.43
7,Netherlands,UEFA,2.94,0.62,86.89
8,England,UEFA,2.44,0.52,83.67
9,Belgium,UEFA,2.76,0.71,83.53
10,Uruguay,CONMEBOL,2.32,0.5,82.64
11,Denmark,UEFA,2.4,0.58,81.84
12,Italy,UEFA,2.36,0.57,81.58
13,Croatia,UEFA,2.33,0.61,80.42
14,Colombia,CONMEBOL,2.06,0.46,80.04
15,Switzerland,UEFA,2.21,0.62,78.53
16,Mexico,CONCACAF,2.05,0.53,78.17
17,Morocco,CAF,2.27,0.69,77.85
18,Ecuador,CONMEBOL,2.08,0.58,77.6
19,USA,CONCACAF,2.21,0.68,77.22
20,Serbia,UEFA,2.25,0.72,76.9
21,Algeria,CAF,2.34,0.79,76.68
22,Czech Republic,UEFA,2.13,0.68,76.07
23,Tunisia,CAF,1.87,0.54,75.2
24,Japan,AFC,2.04,0.67,74.76
25,Austria,UEFA,2.17,0.77,74.68
26,Norway,UEFA,2.08,0.74,73.98
27,Canada,CONCACAF,2.01,0.71,73.52
28,South Korea,AFC,1.8,0.58,72.92
29,Sweden,UEFA,2.12,0.83,72.66
30,Peru,CONMEBOL,1.87,0.68,71.92
31,Poland,UEFA,2.05,0.82,71.73
32,Ukraine,UEFA,1.91,0.78,70.15
33,Turkey,UEFA,2.06,0.91,69.73
34,Senegal,CAF,1.94,0.83,69.5
35,Wales,UEFA,1.8,0.73,69.41
36,Chile,CONMEBOL,1.79,0.73,69.18
37,Iran,AFC,1.67,0.64,69.16
38,Mali,CAF,1.51,0.53,68.8
39,Cameroon,CAF,1.66,0.71,67.28
40,Venezuela,CONMEBOL,1.82,0.83,67.17
41,Ivory Coast,CAF,1.72,0.76,67.11
42,Russia,UEFA,1.87,0.9,66.62
43,Greece,UEFA,1.49,0.6,66.58
44,Australia,AFC,1.77,0.83,66.39
45,Scotland,UEFA,1.76,0.88,65.0
46,Rep of Ireland,UEFA,1.51,0.69,64.54
47,Nigeria,CAF,1.64,0.8,64.51
48,Saudi Arabia,AFC,1.56,0.76,63.84
49,Egypt,CAF,1.48,0.72,63.3
50,Paraguay,CONMEBOL,1.71,0.91,63.29
51,Hungary,UEFA,1.64,0.91,61.86
52,Bosnia and Herzegovina,UEFA,1.62,0.92,61.2
53,Panama,CONCACAF,1.6,0.94,60.15
54,Basque Country,UEFA,1.63,1.0,59.32
55,New Zealand,OFC,1.58,0.99,58.7
56,Finland,UEFA,1.59,1.01,58.52
57,Georgia,UEFA,1.5,0.92,58.51
58,Bolivia,CONMEBOL,1.79,1.22,57.69
59,Ghana,CAF,1.31,0.8,57.03
60,North Macedonia,UEFA,1.49,0.98,56.93
61,Qatar,AFC,1.56,1.08,56.16
62,Montenegro,UEFA,1.38,0.91,56.06
63,Guatemala,CONCACAF,1.42,0.96,55.72
64,Slovakia,UEFA,1.45,1.0,55.59
65,Slovenia,UEFA,1.38,0.96,54.94
66,Northern Ireland,UEFA,1.37,0.95,54.92
67,Romania,UEFA,1.47,1.06,54.68
68,Jamaica,CONCACAF,1.44,1.03,54.59
69,Costa Rica,CONCACAF,1.24,0.84,54.47
70,Israel,UEFA,1.85,1.44,54.21
71,Bahrain,AFC,1.5,1.1,54.12
72,Uzbekistan,AFC,1.54,1.16,53.76
73,Kosovo,UEFA,1.56,1.19,53.53
74,South Africa,CAF,1.29,0.93,53.45
75,Burkina Faso,CAF,1.33,0.98,53.21
76,Haiti,CONCACAF,1.56,1.24,52.62
77,Oman,AFC,1.23,0.91,52.43
78,Albania,UEFA,1.16,0.9,51.17
79,Gabon,CAF,1.27,1.01,51.1
80,Honduras,CONCACAF,1.4,1.16,50.58
81,Congo DR,CAF,1.28,1.07,49.86
82,Cape Verde Islands,CAF,1.17,0.96,49.84
83,Iceland,UEFA,1.36,1.18,49.11
84,Zambia,CAF,1.68,1.53,48.83
85,United Arab Emirates,AFC,1.23,1.08,48.45
86,Uganda,CAF,1.19,1.08,47.45
87,Equatorial Guinea,CAF,1.11,1.04,46.31
88,Benin,CAF,1.02,0.95,46.15
89,Iraq,AFC,1.07,1.01,46.05
90,Togo,CAF,1.22,1.18,45.9
91,Angola,CAF,1.22,1.19,45.6
92,Zimbabwe,CAF,1.18,1.18,44.93
93,China PR,AFC,1.28,1.32,44.12
94,Namibia,CAF,1.03,1.05,44.03
95,Guinea,CAF,1.12,1.17,43.6
96,Jordan,AFC,1.07,1.13,43.31
97,Curacao,CONCACAF,1.2,1.28,43.21
98,Ethiopia,CAF,1.18,1.27,42.98
99,Bulgaria,UEFA,1.18,1.34,41.5
100,Armenia,UEFA,1.22,1.44,40.29
101,Kenya,CAF,1.09,1.3,40.21
102,Swaziland,CAF,1.1,1.31,39.97
103,El Salvador,CONCACAF,1.0,1.2,39.77
104,Trinidad and Tobago,CONCACAF,1.07,1.29,39.77
105,Tanzania,CAF,1.06,1.29,39.5
106,Guinea-Bissau,CAF,1.15,1.41,39.37
107,Luxembourg,UEFA,1.09,1.34,39.31
108,Libya,CAF,1.03,1.3,38.52
109,Botswana,CAF,0.78,1.0,38.13
110,Suriname,CONCACAF,1.18,1.52,37.72
111,Belarus,UEFA,1.08,1.42,37.33
112,Congo,CAF,1.01,1.34,37.3
113,Palestine,AFC,1.03,1.37,37.26
114,Vietnam,AFC,0.96,1.3,36.85
115,Estonia,UEFA,0.98,1.33,36.79
116,Cuba,CONCACAF,0.98,1.33,36.65
117,Gambia,CAF,0.99,1.34,36.61
118,Latvia,UEFA,1.17,1.57,36.57
119,Mozambique,CAF,0.89,1.23,36.38
120,Sierra Leone,CAF,1.1,1.52,35.78
121,Nicaragua,CONCACAF,1.06,1.55,34.34
122,Mauritania,CAF,0.88,1.34,33.81
123,Sudan,CAF,0.93,1.44,33.2
124,Rwanda,CAF,0.74,1.18,33.09
125,Malawi,CAF,0.85,1.34,33.03
126,Syria,AFC,1.16,1.76,33.0
127,Azerbaijan,UEFA,0.85,1.35,32.93
128,Comoros,CAF,1.03,1.6,32.69
129,Burundi,CAF,0.83,1.36,32.2
130,Central African Republic,CAF,1.11,1.74,32.17
131,Madagascar,CAF,1.01,1.65,31.47
